Tweet,label
correct predictions in back to the future ii URL,R
.@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL,R
cops bought the alleged church shooter burger king hours after killings URL,R
🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL,R
an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom,R
god put a rainbow over the white house 🌈 URL,R
craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL,R
#quasimodo: dog with short spine has big heart URL URL,NR
need to #getcovered? most people can find a health insurance plan for as little as $75/mo: URL URL,NR
#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL,R
japan's economy minister akira amari resigns over corruption allegations URL,NR
german shepherd with a rare spinal condition looking for a forever home. URL URL,NR
several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,R
"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL",R
in heaven chick-fil-a is open on sundays.,R
the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL,R
apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL,R
"oh, you invented the pencil? #appleevent URL",NR
"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL",R
thoughts and prayers are not enough. pres. obama speaks on mass shootings over the years: URL URL,R
five hostages escape sydney cafe siege — live updates from @buzzfeedoz URL URL,R
"when she heard about south korean ""comfort women,"" @yunghi photographed some survivors URL URL",NR
translucent butterfly - beautiful! URL,R
everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL,R
family: @schwarzenegger's last act as governor stole justice from dead son. URL URL,R
why have there been more mass shootings under obama than the 4 previous presidents combined? URL URL,R
reports: #charliehebdo suspects killed URL,R
"the kissing islands, greenland. URL",R
police chief says dylann roof was taken to burger king shortly after arrest URL,R
"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",R
russian olympic officials concerned after learning team’s clean urine reservoir almost empty URL URL,NR
it's 2016. women should earn the same pay as men for doing the same work. URL #equalpay URL,NR
breaking update: canadian soldier injured at parliament hill shooting dies URL #ottawa,R
cops bought burger king for dylann roof following his arrest URL URL,R
update: total of 5 people have been able to get out of sydney cafe during hostage situation: URL URL,R
".@berniesanders: in 2016, ""we will end institutional racism and reform a broken criminal justice system.” #demdebate",R
our high school graduation rate is at an all-time high. —@potus URL URL,NR
florida couple arrested for selling fake real estate on the moon #wtf15 👉🏿👉 URL URL,R
i hate writing; i love having written. dorothy parker was born on this day in 1893: URL,NR
"watch one direction's original #xfactoruk auditions from 2010, where it all began URL URL",NR
"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",R
donald trump v adolf hitler URL,R
"target boycott crosses 1 million signers, stock sinks by $1.5 billion URL",R
shooting in canadian parliament comes day after isis-inspired radical drove in2 canadian soldier. also reports of shooting at war memorial/1,R
ca grand dragon endorses hillary clinton on behalf of the kkk. #trump2016 URL URL,R
"landmarks around world turn purple, in honor of #prince. #princerip #purplerain URL",R
"you're increasingly compared to hitler. does that bother you? trump: ""no."" URL",R
#breaking - at least five hostages in paris kosher supermarket: (afp) URL #vincennes URL,R
target ceo responds to nationwide boycott of the store over transgender bathroom policy URL URL,R
"oh, i'm so ready to watch @zaynmalik's #pillowtalk on mtv tonight at 8:15p. URL URL",NR
jeb bush campaign kicks off 3-state farewell tour with iowa town hall meeting URL URL,NR
happy #backtothefuture day! how did 'back to the future: part ii' score on 2015 predictions? URL URL,R
an 11-month old baby is among the hostages at the kosher supermarket in paris. unbearably sad. URL,R
"rudy giuliani rips @hillaryclinton for dragging colin powell into email scandal: ""she lies every day."" URL",NR
an openly gay man said that he and his partner met with pope francis a day before kim davis did URL,R
update - afp says gunman who has taken a hostage at kosher supermarket in paris believed to be suspect in killing of policewoman on thursday,R
isis claims responsibility for triple bombing that killed at least 45 people and injured more than 100 near damascus. URL,NR
"solo cups have been red for decades. if starbucks was taking a shot at christmas, solo shot first.",R
the @whitehouse is rainbow-colored tonight in celebration of scotus same-sex marriage ruling. URL URL,R
ben carson: what happened to blacks during slavery is why i am pro-life on abortion today URL URL,R
"anonymous to kkk: you can hood, but you can't hide. #opkkk #hoodsoff URL",R
