Tweet,label
"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose.",NR
"Today's #CharlieHebdo cover on Houellebecq:""In 2022 I'll observe Ramadan",NR
Charlie Hebdo\u2019s Last Tweet@ Before Shootings,NR
Prediction:@ the #CharlieHebdo massacre will not dent the political class's complacency one iota,NR
"10:28am Charlie Hebdo account mocks ISIS leader, wishing him \""good health and best wishes",NR
Charlie Hebdo became well known for publishing the Muhammed cartoons two years ago,NR
"If your faith isn't strong enough to cope with satirical poke, it oughtn't be strong enough to induce you to kill. Barbaric #CharlieHebdo",NR
Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,NR
Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie,NR
Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one,NR
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this",NR
It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects,NR
If religion \u2014 any religion \u2014 is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo,NR
#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again),NR
"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo",NR
French newspaper Charlie Hebdo's last tweet before gunmen attack,NR
CharlieHebdo. That is all,NR
"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish",NR
Solidarity with Charlie Hebdo.,NR
"Charlie Hebdo's Nov 2011 CHARIA HEBDO \""guest-edited\"" by Muhammad:\""100 lashes of the whip if you don't die laughing",NR
"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying \and especially, health!\"" (New Year's greeting)",NR
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this",NR
"Love Stronger Than Hate.\"" All our thoughts with #CharlieHebdo ",NR
This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices,NR
Why it's Charlie Hebdo's right to draw Muhammad,NR
"For those saying we don't yet know who's responsible for #CharlieHebdo killings, yes, you're right, it was probably fundamentalist atheists",NR
"Anybody who wants to talk about what Charlie Hebdo might have done to \""provoke\"" this should probably shut up, forever",NR
Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings,NR
The Guardian has live coverage of the Paris shooting at Charlie Hebdo,NR
Appalled to hear news of apparent terrorist attack in Paris. My thoughts are with the family and friends of those killed.,NR
in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie,NR
"#Freespeech is a non-negotiable human right. We condemn the appalling attack on Charlie Hebdo, and any attempt to silence the free press",NR
"More Charlie Hebdo covers, including \""the life of Mohamed\"". These are people willing to kill over a cartoon.",NR
"I'm uneasy with the portrayal of Charlie Hebdo as magazine that \""provokes\"". No, it publishes cartoons. People choose how they react to that",NR
Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad ,NR
"Paris on maximum alert after #CharlieHebdo attack, officials say as President Hollande arrives at scene",NR
Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run,NR
...but I will to the death defend your right to say it'.\n\n#charliehebdo,NR
VIDEO from the scene of fatal shooting in Paris ,NR
It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs,NR
French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack,NR
DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande ,NR
Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near,NR
